,movies_title,director,vote_average,release_year,budget,revenue
72,Beyond the Reach,Jean-Baptiste LÃ©onetti,5.5,2015,0,42223
73,Pan,Joe Wright,5.9,2015,137999939,118117202
74,Mythica: The Darkspore,Anne K. Black,5.1,2015,0,0
75,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,7.7,2015,0,0
76,The Peanuts Movie,Steve Martino,6.4,2015,91079959,226534364
77,Concussion,Peter Landesman,6.9,2015,32199985,44733666
78,The Night Before,Jonathan Levine,6.1,2015,22999989,48204295
79,Knock Knock,Eli Roth,4.8,2015,2299998,4796917
80,The Longest Ride,"George Tillman, Jr.",7.3,2015,31279986,57972193
81,Hotel Transylvania 2,Genndy Tartakovsky,6.8,2015,73599967,428888671
82,Love the Coopers,Jessie Nelson,5.3,2015,15639993,22079990
83,The Walk,Robert Zemeckis,6.8,2015,32199985,56287361
84,Tracers,Daniel Benmayor,5.9,2015,10119995,1714249
85,Vacation,John Francis Daley|Jonathan M. Goldstein,6.1,2015,28519987,96033410
86,Poltergeist,Gil Kenan,5.0,2015,32199985,87802915
87,Maggie,Henry Hobson,5.1,2015,3679998,172142
88,Equals,Drake Doremus,5.6,2015,0,1839999
89,Child 44,Daniel Espinosa,5.9,2015,45999979,3058382
90,The Gift,Joel Edgerton,6.6,2015,4599997,54260336
91,Daddy's Home,Sean Anders,5.7,2015,45999979,221131463
92,Mythica: The Necromancer,A. Todd Smith,5.4,2015,0,0
93,Vice,Brian A Miller,4.1,2015,9199995,0
94,The Little Prince,Mark Osborne,7.5,2015,58879974,89765510
95,Alvin and the Chipmunks: The Road Chip,Walt Becker,5.7,2015,0,215055014
96,The Dressmaker,Jocelyn Moorhouse,6.9,2015,10975595,16872792
97,The DUFF,Ari Sandel,6.8,2015,7819996,40046325
98,Sinister 2,Ciaran Foy,5.5,2015,9199995,48651435
99,Paul Blart: Mall Cop 2,Andy Fickman,5.3,2015,27599987,98989419
100,Frozen Fever,Chris Buck|Jennifer Lee,7.0,2015,0,0
101,High-Rise,Ben Wheatley,5.4,2015,0,0
102,The Boy Next Door,Rob Cohen,3.9,2015,3679998,46150034
103,Spooks: The Greater Good,Bharat Nalluri,5.6,2015,0,0
104,Entourage,Doug Ellin,6.2,2015,27599987,45322311
105,The Wedding Ringer,Jeremy Garelick,6.5,2015,21159990,73415857
106,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,6.2,2015,13799993,13671898
107,The Visit,M. Night Shyamalan,5.9,2015,4599997,90574017
108,Black Mass,Scott Cooper,6.3,2015,48759978,91793583
109,Heist,Scott Mann,5.4,2015,8187996,46125
110,Krampus,Michael Dougherty,5.9,2015,13799993,56624785
111,Dark Places,Gilles Paquet-Brenner,5.7,2015,18399991,191900
112,No Escape,John Erick Dowdle,6.7,2015,4599997,50065340
113,Dope,Rick Famuyiwa,7.3,2015,643999,16547831
114,American Ultra,Nima Nourizadeh,5.9,2015,25759988,25951426
115,Woman in Gold,Simon Curtis,7.3,2015,10119995,56690166
116,The Scorpion King: The Lost Throne,Mike Elliott,4.5,2015,0,0
117,Sisters,Jason Moore,5.9,2015,27599987,96610126
118,Project Almanac,Dean Israelite,6.3,2015,11039995,29668368
119,Absolutely Anything,Terry Jones,5.8,2015,0,4774472
120,The Transporter Refueled,Camille Delamarre,5.3,2015,22999989,66819266
121,Crimson Peak,Guillermo del Toro,6.4,2015,50599977,68705406
122,Everly,Joe Lynch,5.1,2015,0,0
123,Magic Mike XXL,Gregory Jacobs,6.3,2015,13615994,112619962
124,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,5.0,2015,9199995,71851557
125,Slow West,John Maclean,6.6,2015,0,210766
126,Trumbo,Jay Roach,7.2,2015,13799993,7576804
127,Secret in Their Eyes,Billy Ray,6.2,2015,17939992,29614535
128,Mistress America,Noah Baumbach,6.4,2015,0,2300395
129,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,5.7,2015,68079970,286666383
130,True Story,Rupert Goold,6.0,2015,0,4342117
131,Max,Boaz Yakin,7.0,2015,18399991,40449856
132,Shaun the Sheep Movie,Mark Burton|Richard Starzack,6.9,2015,0,54923975
133,Louder Than Bombs,Joachim Trier,6.3,2015,10119995,0
134,A Perfect Day,Fernando LeÃ³n de Aranoa,6.3,2015,0,1566237
135,The Gunman,Pierre Morel,5.6,2015,36799983,9811564
136,Unfriended,Levan Gabriadze,5.6,2015,919999,57851497
137,Hot Pursuit,Anne Fletcher,5.5,2015,32199985,47545763
138,Insidious: Chapter 3,Leigh Whannell,6.3,2015,9199995,95959500
139,Z for Zachariah,Craig Zobel,5.5,2015,0,109004
140,Dragonheart 3: The Sorcerer's Curse,Colin Teague,4.5,2015,0,0
141,The Lady in the Van,Nicholas Hytner,5.9,2015,5519997,38076655
142,Victor Frankenstein,Paul McGuigan,5.5,2015,36799983,31489100
143,Brothers of the Wind,Gerado Olivares|Otmar Penker,7.5,2015,0,0
144,Anomalisa,Duke Johnson|Charlie Kaufman,6.7,2015,7359996,3458541
145,Bone Tomahawk,S. Craig Zahler,6.3,2015,1655999,0
146,Regression,Alejandro AmenÃ¡bar,5.2,2015,0,16257405
147,Pawn Sacrifice,Edward Zwick,6.6,2015,0,0
148,The Man Who Knew Infinity,Matt Brown,7.1,2015,0,10554653
149,Momentum,Stephen S. Campanelli,5.8,2015,18399991,0
150,The Diary of a Teenage Girl,Marielle Heller,6.8,2015,1839999,1358841
151,Pay the Ghost,Uli Edel,5.3,2015,0,0
152,The Voices,Marjane Satrapi,6.0,2015,0,0
153,Last Knights,Kazuaki Kiriya,6.3,2015,0,3352102
154,Il racconto dei racconti,Matteo Garrone,5.7,2015,11039995,0
155,Irrational Man,Woody Allen,6.1,2015,10119995,25199786
156,Queen of the Desert,Werner Herzog,6.0,2015,13799993,0
157,Ricki and the Flash,Jonathan Demme,5.5,2015,16559992,38019285
158,Miss You Already,Catherine Hardwicke,7.2,2015,0,0
159,Kung Fury,David Sandberg,7.7,2015,579617,0
160,The Perfect Guy,David M. Rosenthal,5.6,2015,11039995,55451294
161,A Bigger Splash,Luca Guadagnino,5.8,2015,0,1781601
162,While We're Young,Noah Baumbach,5.9,2015,9199995,6980483
163,Get Hard,Etan Cohen,5.9,2015,36799983,97990493
164,Kidnapping Mr. Heineken,Daniel Alfredson,5.8,2015,0,0
165,The Ridiculous 6,Frank Coraci,4.8,2015,55199975,0
166,Kill Me Three Times,Kriv Stenders,5.1,2015,0,0
167,The 33,Patricia Riggen,5.8,2015,22999989,22910495
168,Suffragette,Sarah Gavron,7.1,2015,12879994,14722219
169,45 Years,Andrew Haigh,6.0,2015,0,0
170,We Are Your Friends,Max Joseph,6.2,2015,5519997,10232318
171,Barely Lethal,Kyle Newman,5.5,2015,0,5588
172,Macbeth,Justin Kurzel,6.4,2015,0,12137055
173,Extraction,Steven C. Miller,4.2,2015,0,15432
174,Jenny's Wedding,Mary Agnes Donoghue,5.2,2015,0,0
175,Descendants,Kenny Ortega,6.7,2015,0,0
176,Tumbledown,Sean Mewshaw,6.6,2015,0,0
177,Far from the Madding Crowd,Thomas Vinterberg,6.9,2015,0,27811566
178,The End of the Tour,James Ponsoldt,7.3,2015,0,2762652
179,The Second Best Exotic Marigold Hotel,John Madden,6.4,2015,9199995,79099969
180,Little Boy,Alejandro Monteverde,7.1,2015,18399991,5906690
181,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Brandon Vietti,6.4,2015,0,0
182,Remember,Atom Egoyan,7.7,2015,0,1827684
183,Aloha,Cameron Crowe,5.2,2015,34039985,24150007
184,Accidental Love,David O. Russell|Stephen Greene,3.6,2015,23919989,0
185,Halo: The Fall of Reach,Ian Kirby,5.3,2015,0,0
186,Our Brand Is Crisis,David Gordon Green,5.7,2015,25759988,6442077
187,Into the Forest,Patricia Rozema,5.1,2015,0,0
188,The Invitation,Karyn Kusama,6.4,2015,0,213197
189,The Benefactor,Andrew Renzi,4.5,2015,0,0
190,Open Season: Scared Silly,David Feiss,5.6,2015,0,0
191,Cop Car,Jon Watts,5.5,2015,0,123787
192,Mojave,William Monahan,4.3,2015,0,0
193,Sleeping with Other People,Leslye Headland,6.2,2015,0,2956985
194,Forsaken,Jon Cassar,5.6,2015,10119995,0
195,Amy,Asif Kapadia,7.5,2015,0,7740089
196,Madame Bovary,Sophie Barthes,5.3,2015,0,0
197,The Hallow,Corin Hardy,4.9,2015,0,0
198,Barbie in Princess Power,Zeke Norton,5.5,2015,0,0
199,Howl,Paul Hyett,4.9,2015,0,0
200,Freeheld,Peter Sollett,7.1,2015,6439997,527467
201,Man Up,Ben Palmer,6.5,2015,0,0
202,Love,Gaspar NoÃ©,4.7,2015,2759998,639647
203,Truth,James Vanderbilt,6.4,2015,8831996,2338228
204,Return to Sender,Fouad Mikati,5.0,2015,0,0
205,Danny Collins,Dan Fogelman,6.6,2015,9199995,9968887
206,Rock the Kasbah,Barry Levinson,5.1,2015,13799993,2779009
207,Fathers and Daughters,Gabriele Muccino,7.0,2015,2060799,0
208,"Hello, My Name Is Doris",Michael Showalter,6.6,2015,919999,13289393
209,The Vatican Tapes,Mark Neveldine,4.5,2015,11959994,1641981
210,99 Homes,Ramin Bahrani,6.8,2015,7359996,1298972
211,Hot Tub Time Machine 2,Steve Pink,5.0,2015,12879994,11329473
212,Knight of Cups,Terrence Malick,5.7,2015,0,0
213,Manglehorn,David Gordon Green,5.0,2015,3679998,131652
214,Mississippi Grind,Ryan Fleck|Anna Boden,5.7,2015,0,0
215,400 Days,Matt Osterman,4.2,2015,0,0
216,Lava,James Ford Murphy,7.3,2015,0,0
217,Air,Christian Cantamessa,4.7,2015,0,0
218,Riot,John Lyde,5.0,2015,0,0
219,Septembers of Shiraz,Wayne Blair,5.9,2015,0,0
220,Every Thing Will Be Fine,Wim Wenders,5.1,2015,0,7391
221,Extinction,Miguel Ãngel Vivas,5.3,2015,0,0
222,The Childhood of a Leader,Brady Corbet,3.6,2015,0,0
223,A Walk in the Woods,Ken Kwapis,5.4,2015,7359996,33111785
224,Clown,Jon Watts,5.2,2015,0,0
225,The Lazarus Effect,David Gelb,4.9,2015,3035998,58981843
226,Batman vs. Robin,Jay Oliva,6.8,2015,0,0
227,Careful What You Wish For,Elizabeth Allen Rosenbaum,5.4,2015,7359996,0
228,Racing Extinction,Louie Psihoyos,7.8,2015,0,0
229,Unfinished Business,Ken Scott,4.9,2015,32199985,13276746
230,Lost River,Ryan Gosling,5.7,2015,1839999,41796
231,Cobain: Montage of Heck,Brett Morgen,7.5,2015,0,0
232,Hyena Road,Paul Gross,5.7,2015,0,0
233,Criminal Activities,Jackie Earle Haley,5.9,2015,6439997,0
234,Life,Anton Corbijn,5.9,2015,11039995,0
235,"McFarland, USA",Niki Caro,7.4,2015,0,42053235
236,Backtrack,Michael Petroni,5.4,2015,0,0
237,X+Y,Morgan Matthews,6.0,2015,0,0
238,Home Sweet Hell,Anthony Burns,4.9,2015,2759998,0
239,Ooops! Noah is Gone...,Toby Genkel|Sean McCormack,5.7,2015,5519997,0
240,The Unspoken,Sheldon Wilson,4.1,2015,0,0
241,Hot Girls Wanted,Jill Bauer|Ronna Gradus,5.9,2015,0,0
242,The Gallows,Travis Cluff|Chris Lofing,5.0,2015,91999,39251239
243,Dirty Weekend,Neil LaBute,4.8,2015,0,0
244,I Spit on Your Grave III: Vengeance is Mine,R.D. Braunstein,5.0,2015,0,0
245,Experimenter,Michael Almereyda,6.9,2015,0,0
246,By the Sea,Angelina Jolie,5.4,2015,9199995,3068131
247,Woodlawn,Andrew Erwin|Jon Erwin,6.8,2015,0,0
248,The Hollow,Sheldon Wilson,5.1,2015,0,0
249,Visions,Kevin Greutert,5.5,2015,0,0
250,Beyond the Mask,Chad Burns,6.2,2015,0,1137205
251,I Am Here,Anders Morgenthaler,4.0,2015,0,0
252,Wild Horses,Robert Duvall,4.1,2015,0,0
253,Pressure,Ron Scalpello,5.0,2015,0,0
254,Hidden,Ross Duffer|Matt Duffer,6.5,2015,0,0
255,Hell & Back,Tom Gianas|Ross Shuman,4.3,2015,0,145146
256,Robot Overlords,Jon Wright,4.9,2015,19319991,0
257,The Man with the Iron Fists 2,Roel ReinÃ©,4.7,2015,0,0
258,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,Rick Morales,6.8,2015,0,0
259,Crown for Christmas,Alex Zamm,7.6,2015,0,0
260,Spare Parts,Sean McNamara,6.6,2015,0,0
261,The World Made Straight,David Burris,5.8,2015,0,0
262,Last Shift,Anthony DiBlasi,5.6,2015,0,0
263,Frankenstein,Bernard Rose,4.5,2015,0,0
264,Cartel Land,Matthew Heineman,7.5,2015,0,0
265,Superfast!,Jason Friedberg|Aaron Seltzer,4.4,2015,18399991,0
266,Moonwalkers,Antoine Bardou-Jacquet,6.0,2015,0,0
267,Chi-Raq,Spike Lee,5.9,2015,0,0
268,Bad Asses on the Bayou,Craig Moss,5.8,2015,4875997,0
269,Strange Magic,Gary Rydstrom,6.1,2015,0,12515171
270,Black or White,Mike Binder,6.7,2015,8279996,19845485
271,Dead Rising,Zach Lipovsky,4.9,2015,0,0
272,Deathgasm,Jason Lei Howden,6.5,2015,0,0
273,Justice League: Gods and Monsters,Sam Liu,6.9,2015,0,0
274,I Saw the Light,Marc Abraham,5.6,2015,11959994,1515044
275,Good Kill,Andrew Niccol,5.7,2015,0,291154
276,Southbound,Roxanne Benjamin|David Bruckner|Patrick Horvath|Chad Villella|Matt Bettinelli-Olpin|Tyler Gillett|Justin Martinez|Radio Silence,6.0,2015,0,0
277,Star Trek: Renegades,Tim Russ,4.1,2015,0,0
278,The Boy,Craig Macneill,6.1,2015,0,0
279,Riley's First Date?,Josh Cooley,7.3,2015,0,0
280,The Program,Stephen Frears,5.9,2015,0,3023530
281,Lila & Eve,Charles Stone III,5.2,2015,0,0
282,The Final Girls,Todd Strauss-Schulson,6.6,2015,0,0
283,He Never Died,Jason Krawczyk,6.3,2015,0,0
284,A Very Murray Christmas,Sofia Coppola,5.4,2015,0,0
285,Kill Your Friends,Owen Harris,5.5,2015,0,0
286,Battle For SkyArk,Simon Hung,3.5,2015,0,0
287,Jem and the Holograms,Jon M. Chu,5.7,2015,4599997,2146988
288,The Adderall Diaries,Pamela Romanowsky,4.8,2015,0,0
289,Grizzly,David Hackl,5.0,2015,9199995,0
290,Where to Invade Next,Michael Moore,7.2,2015,0,0
291,Beasts of No Nation,Cary Fukunaga,7.5,2015,5519997,83514
292,A Christmas Horror Story,Grant Harvey|Steven Hoban|Brett Sullivan,5.6,2015,0,0
293,Sunset Song,Terence Davies,7.1,2015,0,0
294,Synchronicity,Jacob Gentry,5.3,2015,0,4144
295,12 Gifts of Christmas,Peter Sullivan,6.3,2015,0,0
296,The Pack,Nick Robertson,5.5,2015,0,0
297,Demonic,Will Canon,5.0,2015,2759998,3116038
298,The Girl in the Photographs,Nick Simon,4.7,2015,0,0
299,The Legend of Barney Thomson,Robert Carlyle,5.7,2015,0,0
300,The Duke of Burgundy,Peter Strickland,5.8,2015,919999,0
301,88,April Mullen,4.4,2015,0,0
302,The Girl in the Book,Marya Cohn,6.2,2015,0,0
303,Avengers Grimm,Jeremy M. Inman,3.8,2015,0,0
304,The D Train,Andrew Mogel|Jarrad Paul,4.2,2015,411721,709611
305,The Lion Guard: Return of the Roar,Howy Parkins,5.9,2015,0,0
306,A Royal Night Out,Julian Jarrold,6.2,2015,0,209885
307,Parallels,Christopher Leone,6.1,2015,0,0
308,Born to Be Blue,Robert Budreau,6.8,2015,0,763718
309,The Marine 4: Moving Target,William Kaufman,5.7,2015,1793999,0
310,Tales of Halloween,Darren Lynn Bousman|Axelle Carolyn|Adam Gierasch|Andrew Kasch|Neil Marshall|Lucky McKee|Ryan Schifrin|Mike Mendez|Dave Parker|John Skipp|Paul Solet,5.3,2015,0,0
311,Blunt Force Trauma,Ken Sanzel,4.4,2015,919999,0
312,Operator,Obin Olson|Amariah Olson,5.4,2015,0,0
313,The Human Centipede 3 (Final Sequence),Tom Six,3.5,2015,0,0
314,Spring,Aaron Moorhead|Justin Benson,6.5,2015,0,45972
315,The Intruders,Adam Massey,4.9,2015,0,0
316,We Are Still Here,Ted Geoghegan,5.5,2015,0,0
317,Monster High: Haunted,Dan Fraga|William Lau,7.0,2015,0,0
318,3-Headed Shark Attack,Christopher Ray,3.8,2015,0,0
319,Navy Seals vs. Zombies,Stanton Barrett,3.3,2015,0,0
320,Wrecker,Michael Bafaro,3.6,2015,0,0
321,The Escort,Will Slocombe,5.9,2015,0,0
322,Martyrs,Kevin Goetz|Michael Goetz,5.0,2015,0,0
323,Uncanny,Matthew Leutwyler,6.1,2015,0,0
324,Bad Hair Day,Erik Canuel,6.5,2015,0,0
325,Area 51,Oren Peli,4.4,2015,4599997,0
326,San Andreas Quake,John Baumgartner,3.7,2015,0,0
327,The Runner,Austin Stark,4.8,2015,5519997,0
328,Advantageous,Jennifer Phang,6.4,2015,0,0
329,Partisan,Ariel Kleiman,5.8,2015,0,0
330,R.L. Stine's Monsterville: The Cabinet of Souls,Peter DeLuise,7.2,2015,4047998,0
331,Strangerland,Kim Farrant,5.0,2015,9199995,16074
332,Ashby,Tony McNamara,5.9,2015,0,0
333,Beautiful & Twisted,Christopher Zalla,5.4,2015,0,0
334,Ronaldo,Anthony Wonke,6.5,2015,0,0
335,Going Clear: Scientology and the Prison of Belief,Alex Gibney,7.8,2015,0,0
336,Zipper,Mora Stephens,5.5,2015,0,0
337,War Pigs,Ryan Little,4.9,2015,0,0
338,Turbo Kid,FranÃ§ois Simard|Anouk Whissell|Yoann-Karl Whissell,6.6,2015,0,0
339,Barbie in Rock 'N Royals,Karen J. Lloyd,6.3,2015,0,0
340,Circle,Aaron Hann|Mario Miscione,6.1,2015,0,0
341,Monkey Kingdom,Mark Linfield|Alastair Fothergill,6.3,2015,0,15328184
342,Joe Dirt 2: Beautiful Loser,Fred Wolf,4.2,2015,0,0
343,Minions: The Competition,Kyle Balda|Julien Soret,5.9,2015,0,0
344,I'll See You in My Dreams,Brett Haley,6.2,2015,0,6853703
345,Jesse Stone: Lost in Paradise,Robert Harmon,5.6,2015,0,0
346,Steve Jobs: The Man in the Machine,Alex Gibney,6.2,2015,0,454945
347,Babysitter's Black Book,Lee Friedlander,5.9,2015,0,0
348,The Ones Below,David Farr,5.9,2015,0,0
349,Tremors 5: Bloodlines,Don Michael Paul,5.1,2015,0,0
350,Captive,Jerry Jameson,5.7,2015,1839999,2577386
351,Terminus,Marc Furmie,4.6,2015,0,0
352,Andron,Francesco Cinquemani,4.7,2015,0,0
353,How to Plan an Orgy in a Small Town,Jeremy Lalonde,4.7,2015,0,0
354,Freaks of Nature,Robbie Pickering,5.6,2015,0,65281
355,Reversal,JosÃ© Manuel Cravioto,5.4,2015,0,0
356,Batman Unlimited: Monster Mayhem,Butch Lukic,6.1,2015,0,0
357,The Lovers,Roland JoffÃ©,4.6,2015,24839989,0
358,Holding the Man,Neil Armfield,7.9,2015,0,0
359,Harbinger Down,Alec Gillis,4.2,2015,0,0
360,Batman Unlimited: Animal Instincts,Butch Lukic,5.8,2015,0,0
361,Entertainment,Rick Alverson,4.0,2015,0,0
362,Meadowland,Reed Morano,6.4,2015,0,0
363,The Stanford Prison Experiment,Kyle Patrick Alvarez,6.8,2015,0,592072
364,The Girl King,Mika KaurismÃ¤ki,6.1,2015,0,0
365,Bessie,Dee Rees,5.9,2015,0,0
366,The Atticus Institute,Chris Sparling,5.3,2015,0,0
367,The Hoarder,Matt Winn,4.2,2015,0,0
368,I Smile Back,Adam Salky,5.7,2015,0,0
369,Oddball,Stuart McDonald,6.1,2015,0,0
370,Meru,Jimmy Chin|Elizabeth Chai Vasarhelyi,6.9,2015,0,2147488
371,Sanjay's Super Team,Sanjay Patel,6.9,2015,0,0
372,Learning to Drive,Isabel Coixet,5.9,2015,0,3171820
373,Christmas Eve,Mitch Davis,5.8,2015,0,0
374,The Sisterhood of Night,Caryn Waechter,6.6,2015,0,0
375,Sharknado 3: Oh Hell No!,Anthony C. Ferrante,4.5,2015,0,0
376,12 Rounds 3: Lockdown,Stephen Reynolds,4.5,2015,0,0
377,Hitting the Apex,Mark Neale,8.0,2015,0,0
378,Club Life,Fabrizio Conte,6.3,2015,0,4088
379,Cleveland Abduction,Alex Kalymnios,6.3,2015,0,0
380,90 Minutes in Heaven,Michael Polish,5.7,2015,4599997,4455281
381,Lavalantula,Mike Mendez,5.6,2015,0,0
382,Unexpected,Kris Swanberg,5.7,2015,0,0
383,Justice League: Throne of Atlantis,Ethan Spaulding,6.5,2015,3219998,0
384,Lady Chatterley's Lover,Jed Mercurio,6.3,2015,0,0
385,The Wicked Within,Jay Alaimo,4.1,2015,0,0
386,Bridgend,Jeppe RÃ¸nde,5.7,2015,0,0
387,Backcountry,Adam MacDonald,5.8,2015,0,0
388,Walter,Anna Mastro,5.2,2015,643999,0
389,Ratter,Branden Kramer,5.2,2015,459999,0
390,An Inspector Calls,Aisling Walsh,7.8,2015,0,0
391,The Survivalist,Stephen Fingleton,6.4,2015,0,0
392,Don't Grow Up,Thierry Poiraud,3.9,2015,0,0
393,Night Of The Living Deb,Kyle Rankin,5.7,2015,1839999,0
394,No Stranger Than Love,Nick Wernham,4.1,2015,0,0
395,The Hive,David Yarovesky,5.5,2015,0,0
396,Back in Time,Jason Aron,5.8,2015,0,0
397,Nina Forever,Ben Blaine|Chris Blaine,4.8,2015,0,0
398,Some Kind Of Hate,Adam Egypt Mortimer,3.9,2015,0,0
399,The Dead Room,Jason Stutter,4.6,2015,919999,0
400,Condemned,Eli Morgan Gesner,3.7,2015,0,0
401,Night Owls,Charles Hood,7.1,2015,0,0
402,The Sand,Isaac Gabaeff,3.9,2015,0,0
403,Digging for Fire,Joe Swanberg,4.9,2015,0,0
404,Ten Thousand Saints,Robert Pulcini|Shari Springer Berman,6.0,2015,0,0
405,From the Dark,Conor McMahon,6.1,2015,0,0
406,My All American,Angelo Pizzo,6.9,2015,18399991,0
407,Hangman,Adam Mason,3.9,2015,0,0
408,Larry Gaye: Renegade Male Flight Attendant,Sam Friedlander,5.3,2015,0,0
409,Grandma,Paul Weitz,5.6,2015,551999,6520452
410,Anarchy Parlor,Kenny Gage|Devon Downs,5.6,2015,0,0
411,Summer Camp,Alberto Marini,5.3,2015,0,0
412,Backmask,Marcus Nispel,4.6,2015,0,0
413,Already Tomorrow in Hong Kong,Emily Ting,5.4,2015,0,0
414,Those People,Joey Kuhn,7.2,2015,0,0
415,Show Me a Hero,Paul Haggis,7.7,2015,0,0
416,Curve,Iain Softley,4.4,2015,0,0
417,Pound of Flesh,Ernie Barbarash,5.4,2015,6899996,0
418,Cyberbully,Ben Chanan,6.4,2015,0,0
419,Final Girl,Tyler Shields,4.8,2015,0,0
420,He Named Me Malala,Davis Guggenheim,5.3,2015,0,2431466
421,The Driftless Area,Zachary Sluser,5.0,2015,0,0
